Price,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL
Date,,,,,
2009-09-21,5.5189528465271,5.553142222569298,5.446974685880772,5.527050614838138,437715600
2009-09-22,5.532747268676758,5.559739424533862,5.483861951350308,5.554041396409329,356753600
2009-09-23,5.563337326049805,5.665307182942891,5.549241216127724,5.560338554149499,593563600
2009-09-24,5.51295280456543,5.62931749520038,5.481462293885589,5.614322032992054,550880400
2009-09-25,5.469464302062988,5.563336377679512,5.4415728050529,5.458667683961157,445239200
2009-09-28,5.5828328132629395,5.598728431328382,5.498258531003867,5.514453665967639,337444800
2009-09-29,5.559741973876953,5.620323692947009,5.527651609764739,5.6002304264398415,345385600
2009-09-30,5.558841228485107,5.591831336615737,5.4766658755128805,5.582233981276671,539585200
2009-10-01,5.424179553985596,5.584930792403295,5.41938007722574,5.558839193398437,524711600
2009-10-02,5.54534387588501,5.576534876537783,5.438876431369135,5.44067593527739,553308000
2009-10-05,5.578932285308838,5.604124932694713,5.526447970309848,5.58433119597726,423133200
2009-10-06,5.698598384857178,5.698598384857178,5.617323589452247,5.630519151439979,605085600
2009-10-07,5.7057976722717285,5.714794793336152,5.66920815197693,5.6911021209314665,465668000
2009-10-08,5.676403999328613,5.741784357510239,5.665006743513845,5.718091695833537,438211200
2009-10-09,5.712395191192627,5.71929289025881,5.656912480022864,5.667409187518564,293272000
2009-10-12,5.722590446472168,5.743584254787587,5.687500926998434,5.72888870909387,288024800
2009-10-13,5.698898792266846,5.7333880828885615,5.689301438001053,5.717192947988695,348020400
2009-10-14,5.736987113952637,5.767876994269998,5.70519668088475,5.765777973586027,375510800
2009-10-15,5.715095520019531,5.725892146910471,5.684205226473758,5.687204000304053,373556400
2009-10-16,5.639814376831055,5.709093657766491,5.633516114773815,5.678802817290677,431426800
2009-10-19,5.6940999031066895,5.698298745736897,5.564839137375472,5.6338185217484895,942230800
2009-10-20,5.961019515991211,6.050693190096715,5.933727841594997,6.016203900675311,1141039200
2009-10-21,6.1457624435424805,6.25942906263331,5.9751135573618255,5.983810755922599,1193726800
2009-10-22,6.154160022735596,6.233636484571885,6.0734846928628805,6.139164562115651,791392000
2009-10-23,6.116373538970947,6.172157362047725,6.095080209180593,6.169158589142146,420786800
2009-10-26,6.0725860595703125,6.200647524633727,6.0012073542585735,6.108275412226183,484338400
2009-10-27,5.9193315505981445,6.082482122499569,5.89173876443276,6.047992841592911,756551600
2009-10-28,5.770277500152588,5.938827029835928,5.731288648957759,5.929529192487862,818386800
2009-10-29,5.888741493225098,5.902538090035594,5.762479507943354,5.848253857273773,570270400
2009-10-30,5.653313636779785,5.90223907170365,5.643416362608399,5.880045985015341,717525200
2009-11-02,5.677603244781494,5.7846708986086375,5.5654369977737765,5.692298789407825,678983200
2009-11-03,5.660808086395264,5.683900912696202,5.575933510813092,5.633816736453918,522541600
2009-11-04,5.722590446472168,5.813762893311467,5.705196045792739,5.720191508754156,487530400
2009-11-05,5.819162368774414,5.848253545714801,5.752881847456958,5.770277050670187,384801200
2009-11-06,5.828458309173584,5.853950475513066,5.770276362653737,5.77357505210137,295097600
2009-11-09,6.041994571685791,6.055190129400372,5.886041210677853,5.906434381729801,528855600
2009-11-10,6.087583065032959,6.147564529384662,6.028500551830957,6.028800469163308,401195200
2009-11-11,6.095680236816406,6.1481645670211345,6.05309237741406,6.134968204821527,443870000
2009-11-12,6.05789041519165,6.144264181057636,6.041095449536003,6.092379697833622,363731200
2009-11-13,6.131669044494629,6.143065501460339,6.060290328855908,6.084282911986207,343240800
2009-11-16,6.197049617767334,6.238137087908105,6.148464214887202,6.162559527589914,485206400
2009-11-17,6.2081451416015625,6.221340700215602,6.14816329119953,6.1805535544843995,396513600
2009-11-18,6.176955699920654,6.208146702429094,6.118173503781763,6.194351305825708,374320800
2009-11-19,6.013502597808838,6.136466267035182,5.992209274032772,6.136466267035182,542326400
2009-11-20,5.995810031890869,6.009906146673232,5.931029489053874,5.972717197882015,406666400
2009-11-23,6.174554824829102,6.178153831730797,6.086680674673565,6.0881806613061595,474896800
2009-11-24,6.131369113922119,6.174556003717348,6.0851830511361875,6.158060552268482,318438400
2009-11-25,6.123869895935059,6.167657011560356,6.110973855205778,6.160158680234003,286454000
2009-11-27,6.015902519226074,6.086980501942636,5.949322093799491,5.974814258129261,295257200
2009-11-30,5.995510101318359,6.048593864396834,5.961320328244017,6.0314989778596635,424858000
2009-12-01,5.9073381423950195,6.081286231847688,5.903139298754217,6.065390609493225,465763200
2009-12-02,5.885142803192139,6.040796293103711,5.87074717182625,5.967018231876903,715260000
2009-12-03,5.892642021179199,5.967620168492839,5.886344156321823,5.920833455399611,448719600
2009-12-04,5.797868251800537,5.994608779769837,5.706695001396256,5.98921106963751,826884800
2009-12-07,5.666806221008301,5.811363530500468,5.658708855796298,5.797867654864755,714758800
2009-12-08,5.694399833679199,5.768778130601975,5.659310707173308,5.679104450200117,690398800
2009-12-09,5.9322285652160645,5.943025187072649,5.707595323414206,5.736686899690013,684782000
2009-12-10,5.891140937805176,5.989211898724556,5.881843901365935,5.983213552361397,489669600
2009-12-11,5.83835506439209,5.938225501394418,5.80116612814943,5.931626921809789,429774800
2009-12-14,5.9076361656188965,5.921132044913821,5.775075910438951,5.859350677230046,495790400
2009-12-15,5.823361873626709,5.923532266920275,5.796370112836128,5.873147353133809,419459600
2009-12-16,5.8491530418396,5.893240084709314,5.834757411661771,5.851252462968979,352984800
2009-12-17,5.754082202911377,5.848254243213638,5.728290113159444,5.826060761028629,388838800
2009-12-18,5.861149787902832,5.863249209051518,5.776274791729117,5.793370478649195,608770400
2009-12-21,5.945126056671143,5.990712697407321,5.868348809383097,5.879746070202747,611906400
2009-12-22,6.009005546569824,6.0237010945052765,5.958020804554095,5.981413954579627,349515600
2009-12-23,6.061190128326416,6.069587813339253,6.022501995073973,6.034197969780245,345525600
2009-12-24,6.269328594207764,6.2786264325732875,6.09867962460943,6.104677971668669,500889200
2009-12-28,6.346404075622559,6.416582715557259,6.286421822147466,6.349703566057179,644565600
2009-12-29,6.271125793457031,6.379693833208018,6.260029255899525,6.376994578023435,445205600
2009-12-30,6.347304821014404,6.358102245663589,6.247435149894321,6.263030050706008,412084400
2009-12-31,6.320011615753174,6.398588738456315,6.31491342263647,6.391990558580644,352410800
2010-01-04,6.4183831214904785,6.4330786686287,6.369497803320925,6.400988318677633,493729600
2010-01-05,6.429480075836182,6.4657692680287715,6.395589821602762,6.436078256388881,601904800
2010-01-06,6.327211380004883,6.454973360062211,6.320613198722003,6.429480787347484,552160000
2010-01-07,6.315512180328369,6.358100027268227,6.269626044651113,6.350602096394388,477131200
2010-01-08,6.357501983642578,6.358102218742915,6.269928923816772,6.3071170720746315,447610800
